,Transformation parameter epsilon,RMS colon PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
145,0.4222780418641751,0.5737220797457856,1.8376236904439717e-07,4.430774213496519,1.193519887925797e-06,4.430774213496519
146,0.4250561868764394,0.5872878029032916,3.4048997875563955e-07,4.294260212507159,2.112627189724889e-06,4.294260212507159
147,0.42783433188870373,0.5771185520436112,2.6814590046692377e-07,4.343489449211991,1.7195624427139195e-06,4.343489449211991
148,0.43061247690096804,0.5870561214162872,3.3957338221483064e-07,4.289715996539573,2.153598196514843e-06,4.289715996539573
149,0.43339062191323235,0.5805921943574422,2.958961824163594e-07,4.316963189377627,1.9216510533961806e-06,4.316963189377627
150,0.43616876692549666,0.576616648972773,2.605980151863198e-07,4.341857014720025,1.7315313486997435e-06,4.341857014720025
151,0.438946911937761,0.5799396516577419,2.875355597141101e-07,4.317988814226285,1.913548009306387e-06,4.317988814226285
152,0.4417250569500253,0.5830892910604347,3.0697656826792695e-07,4.301263310621108,2.052363224579639e-06,4.301263310621108
153,0.4445032019622896,0.5774084144374769,2.62706841275071e-07,4.3323171397732185,1.8022074958256624e-06,4.3323171397732185
154,0.4472813469745539,0.5784134995872307,2.6950286364508916e-07,4.3242147916147635,1.864446737672692e-06,4.3242147916147635
155,0.4500594919868182,0.5818310111258617,2.925687934783209e-07,4.303921230482862,2.029856607700126e-06,4.303921230482862
156,0.4528376369990825,0.5907308657545539,9.032614030928016e-08,4.554939037219441,7.105751636643558e-07,4.554939037219441
157,0.45561578201134684,0.5769955670543169,2.517808230699543e-07,4.331115472404843,1.8114511117950253e-06,4.331115472404843
158,0.45839392702361115,0.5903346850458318,8.836048379098063e-08,4.554234272542744,7.126982980969659e-07,4.554234272542744
159,0.46117207203587546,0.5732221943949726,2.1822887270200677e-07,4.356734764843626,1.6274160419905954e-06,4.356734764843626
160,0.46395021704813977,0.5899376085841608,8.64391902048069e-08,4.553527273997449,7.148345593588596e-07,4.553527273997449
161,0.4667283620604041,0.5709892117489467,1.9061833812404808e-07,4.3806289449865154,1.4726767930240622e-06,4.3806289449865154
162,0.4722846520849327,0.5714727459041822,2.0253081959808785e-07,4.36240806562682,1.5895249008066743e-06,4.36240806562682
163,0.475062797097197,0.5757230703736778,2.360001133374256e-07,4.326991008703404,1.8435064876634097e-06,4.326991008703404
164,0.4778409421094613,0.5794709603307299,2.6214622893918683e-07,4.301911498545655,2.0478216903813777e-06,4.301911498545655
165,0.48061908712172563,0.5887369716415943,8.093386376715067e-08,4.55138615876874,7.213434565409943e-07,4.55138615876874
166,0.48339723213398994,0.5885409370002678,8.004927859781549e-08,4.551035383366258,7.224154111723952e-07,4.551035383366258
167,0.48617537714625425,0.5883405510399763,7.917729073608349e-08,4.550677195283483,7.235117064625944e-07,4.550677195283483
168,0.48895352215851856,0.5881399680604767,7.831514829169477e-08,4.550318493051033,7.246112492971375e-07,4.550318493051033
169,0.49173166717078287,0.5879391691608186,7.746275423014296e-08,4.54995922872886,7.257141956129095e-07,4.54995922872886
170,0.4972879571953115,0.5875369694207764,7.57867172561066e-08,4.549239128457898,7.279299901446199e-07,4.549239128457898
171,0.5000661022075757,0.5873355631782046,7.4962859209837e-08,4.54887827192713,7.29042921280092e-07,4.54887827192713
172,0.5028442472198401,0.5871339584942376,7.414829319533403e-08,4.54851688351005,7.301592041964755e-07,4.54851688351005
