,Transformation parameter epsilon,RMS CML IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
134,0.048951112147845005,0.1427799147205754,0.005408687269543716,-34.66310348398865,0.9996307718305412,0.06735171764977452,0.005408687269543716,-34.66310348398865,0.9999500717782482,0.06735171764977452
135,0.04931641895491848,0.14257014695670225,0.004570887585909802,-37.12424402679743,0.9996863901069486,0.0673743072746855,0.004570887585909802,-37.12424402679743,0.9999587980110615,0.0673743072746855
136,0.049681725761991945,0.14261437441634803,0.005008534332236529,-35.75059639351339,0.9996546694247087,0.06738516664658042,0.005008534332236529,-35.75059639351339,0.9999556368969182,0.06738516664658042
137,0.05004703256906542,0.14249609898316154,0.00465977374079981,-36.79402762739445,0.9996771288763737,0.06740239262612205,0.00465977374079981,-36.79402762739445,0.9999596174872886,0.06740239262612205
138,0.05041233937613889,0.14232328473681546,0.0036062341223699937,-40.55086412599431,0.9997488816600193,0.06742786971091576,0.0036062341223699937,-40.55086412599431,0.999969632803775,0.06742786971091576
139,0.05077764618321236,0.14227573289603063,0.0034316670797820896,-41.26086398334358,0.999759876905236,0.06744291527231859,0.0034316670797820896,-41.26086398334358,0.9999717494327867,0.06744291527231859
140,0.05114295299028583,0.1422099939283578,0.0035098577567873766,-40.907764027707756,0.9997532228551025,0.06745597718395857,0.0035098577567873766,-40.907764027707756,0.9999716880497898,0.06745597718395857
141,0.0515082597973593,0.14250220449354462,0.00480917962811447,-36.233915337180925,0.9996602675018333,0.06745902629195082,0.00480917962811447,-36.233915337180925,0.999961824162425,0.06745902629195082
142,0.05187356660443277,0.14219643001678953,0.002768243308102948,-44.345768588419546,0.9998034530833345,0.06750139781541475,0.002768243308102948,-44.345768588419546,0.9999789385600232,0.06750139781541475
143,0.05260418021857971,0.1424429226931156,0.004072939585613039,-38.61183792473049,0.9997081422032686,0.06750970365650621,0.004072939585613039,-38.61183792473049,0.9999701549614465,0.06750970365650621
144,0.05296948702565318,0.14233972229277003,0.0029893804593152293,-43.147523181780976,0.9997847669140375,0.06753433612316778,0.0029893804593152293,-43.147523181780976,0.9999788745538668,0.06753433612316778
145,0.05333479383272665,0.1420889361192345,0.0016499913516056274,-51.9116470123348,0.9998806527365844,0.06755236834863683,0.0016499913516056274,-51.9116470123348,0.9999887182160184,0.06755236834863683
146,0.05370010063980012,0.142252300252769,0.0023884204642881904,-46.430222622450806,0.9998264561966697,0.06755614816043845,0.0023884204642881904,-46.430222622450806,0.9999840036893634,0.06755614816043845
147,0.05406540744687359,0.1425476809966124,0.003405482199478688,-41.159634875677234,0.9997514038974468,0.06756889763145887,0.003405482199478688,-41.159634875677234,0.9999777875618684,0.06756889763145887
148,0.05443071425394706,0.14230067196870003,0.0020854372497594634,-48.389483331775295,0.9998470811409434,0.06758297959018782,0.0020854372497594634,-48.389483331775295,0.9999868484973643,0.06758297959018782
149,0.05479602106102053,0.1428121679978057,0.004007249568015122,-38.71433947595999,0.9997048068885062,0.06759165540172477,0.004007249568015122,-38.71433947595999,0.9999753241270244,0.06759165540172477
150,0.055161327868094,0.1425394585842911,0.001798521986997751,-50.51162134293717,0.9998669087628216,0.06761855711247886,0.001798521986997751,-50.51162134293717,0.9999894713275295,0.06761855711247886
151,0.05552663467516747,0.1425690368284389,0.001835782080964016,-50.19693180304411,0.9998635526270888,0.06762496817671948,0.001835782080964016,-50.19693180304411,0.9999895516510428,0.06762496817671948
152,0.05589194148224094,0.142926904528838,0.0024660663890209026,-45.796410397566184,0.9998158610878205,0.06764576027058986,0.0024660663890209026,-45.796410397566184,0.9999865379190098,0.06764576027058986
153,0.05625724828931441,0.14303085030953258,0.002606526686690963,-44.96644506337071,0.9998045283791132,0.06765101880836727,0.002606526686690963,-44.96644506337071,0.9999862128461758,0.06765101880836727
154,0.05662255509638788,0.1429971786698187,0.0016174152367671633,-51.97797625728617,0.9998781624517588,0.06767252053759286,0.0016174152367671633,-51.97797625728617,0.9999918674019409,0.06767252053759286
155,0.056987861903461355,0.14316381128687164,0.0013815044015787756,-54.25467508419778,0.9998954537839013,0.06770184800006279,0.0013815044015787756,-54.25467508419778,0.9999934383528629,0.06770184800006279
156,0.057718475517608295,0.14353358928008667,0.0022617039210640123,-46.953554981941544,0.9998273842746848,0.06771076187107102,0.0022617039210640123,-46.953554981941544,0.9999900279021791,0.06771076187107102
157,0.05808378232468176,0.14351317380223813,0.0015517416453796292,-52.48729144429779,0.9998810594648955,0.06772556942186667,0.0015517416453796292,-52.48729144429779,0.9999935218247263,0.06772556942186667
158,0.058449089131755234,0.14361975590267934,0.0015007181762381008,-52.95610452788996,0.9998844770000479,0.06773846159956773,0.0015007181762381008,-52.95610452788996,0.9999940559384098,0.06773846159956773
